dim,condition,n_distractors,mean_b,ci_lo,ci_hi,mean_retention,mean_rank
64,near,0,0.0092,0.0064,0.0118,0.9902,1.01
64,near,1000,0.0381,0.0228,0.0617,0.9607,1.09
64,near,2000,0.0447,0.0357,0.0538,0.9478,1.13
64,near,4000,0.0731,0.0566,0.0948,0.9188,1.53
64,near,10000,0.1053,0.0867,0.1236,0.8782,1.99
64,near,20000,0.1326,0.1045,0.1670,0.8493,2.30
64,near,40000,0.1611,0.1263,0.2001,0.8138,4.85
64,far,0,0.0092,0.0064,0.0118,0.9902,1.01
64,far,1000,0.0285,0.0191,0.0432,0.9704,1.07
64,far,5000,0.0576,0.0445,0.0725,0.9382,1.25
64,far,10000,0.0777,0.0543,0.1155,0.9165,1.70
64,far,50000,0.1323,0.1051,0.1561,0.8502,4.60
128,near,0,0.0000,0.0000,0.0000,1.0000,1.00
128,near,1000,0.0034,0.0020,0.0048,0.9970,1.00
128,near,2000,0.0023,0.0018,0.0032,0.9985,1.00
128,near,4000,0.0078,0.0057,0.0104,0.9928,1.01
128,near,10000,0.0120,0.0044,0.0219,0.9874,1.02
128,near,20000,0.0189,0.0114,0.0271,0.9785,1.04
128,near,40000,0.0198,0.0152,0.0245,0.9781,1.06
128,far,0,0.0000,0.0000,0.0000,1.0000,1.00
128,far,1000,0.0000,0.0000,0.0000,1.0000,1.00
128,far,5000,0.0029,0.0018,0.0041,0.9984,1.00
128,far,10000,0.0029,0.0020,0.0035,0.9981,1.00
128,far,50000,0.0110,0.0067,0.0151,0.9884,1.03
256,near,0,0.0000,0.0000,0.0000,1.0000,1.00
256,near,1000,0.0000,0.0000,0.0000,1.0000,1.00
256,near,2000,0.0020,0.0020,0.0020,0.9994,1.00
256,near,4000,0.0020,0.0020,0.0020,0.9994,1.00
256,near,10000,0.0034,0.0020,0.0050,0.9977,1.00
256,near,20000,0.0061,0.0031,0.0088,0.9948,1.01
256,near,40000,0.0034,0.0023,0.0046,0.9954,1.00
256,far,0,0.0000,0.0000,0.0000,1.0000,1.00
256,far,1000,0.0000,0.0000,0.0000,1.0000,1.00
256,far,5000,0.0000,0.0000,0.0000,1.0000,1.00
256,far,10000,0.0000,0.0000,0.0000,1.0000,1.00
256,far,50000,0.0032,0.0032,0.0032,0.9995,1.00
1024,near,0,0.0000,0.0000,0.0000,1.0000,1.00
1024,near,1000,0.0000,0.0000,0.0000,1.0000,1.00
1024,near,2000,0.0000,0.0000,0.0000,1.0000,1.00
1024,near,4000,0.0000,0.0000,0.0000,1.0000,1.00
1024,near,10000,0.0019,0.0005,0.0032,0.9986,1.00
1024,near,20000,0.0026,0.0020,0.0032,0.9989,1.00
1024,near,40000,0.0024,0.0005,0.0035,0.9977,1.00
1024,far,0,0.0000,0.0000,0.0000,1.0000,1.00
1024,far,1000,0.0000,0.0000,0.0000,1.0000,1.00
1024,far,5000,0.0000,0.0000,0.0000,1.0000,1.00
1024,far,10000,0.0000,0.0000,0.0000,1.0000,1.00
1024,far,50000,0.0000,0.0000,0.0000,1.0000,1.00
