config,long_mean,medium_mean,short_mean,massed_mean,matches_order,human_distance,cohens_d
dist100000_sigma0.1,1.0000,1.0000,1.0000,1.0000,True,1.0500,0.00
dist100000_sigma0.15,1.0000,1.0000,1.0000,1.0000,True,1.0500,0.00
dist100000_sigma0.2,1.0000,0.9960,0.9800,0.9780,True,1.0280,1.89
dist100000_sigma0.25,0.9960,0.1360,0.1620,0.1000,False,0.5460,30.91
dist100000_sigma0.3,0.5420,0.0040,0.0000,0.0020,False,0.4060,7.00
dist100000_sigma0.35,0.0280,0.0000,0.0000,0.0000,True,0.9220,2.21
dist100000_sigma0.4,0.0000,0.0000,0.0000,0.0000,True,0.9500,0.00
dist100000_sigma0.45,0.0000,0.0000,0.0000,0.0000,True,0.9500,0.00
dist100000_sigma0.5,0.0000,0.0000,0.0000,0.0000,True,0.9500,0.00
dist10000_sigma0.1,1.0000,1.0000,1.0000,1.0000,True,1.0500,0.00
dist10000_sigma0.15,1.0000,1.0000,1.0000,1.0000,True,1.0500,0.00
dist10000_sigma0.2,1.0000,1.0000,1.0000,1.0000,True,1.0500,0.00
dist10000_sigma0.25,1.0000,0.9280,0.8860,0.9260,False,0.9760,1.68
dist10000_sigma0.3,0.9920,0.1060,0.0800,0.0800,True,0.5620,31.10
dist10000_sigma0.35,0.5980,0.0040,0.0000,0.0000,True,0.3520,7.85
dist10000_sigma0.4,0.0900,0.0000,0.0000,0.0000,True,0.8600,2.27
dist10000_sigma0.45,0.0040,0.0000,0.0000,0.0000,True,0.9460,1.03
dist10000_sigma0.5,0.0000,0.0000,0.0000,0.0000,True,0.9500,0.00
dist25000_sigma0.1,1.0000,1.0000,1.0000,1.0000,True,1.0500,0.00
dist25000_sigma0.15,1.0000,1.0000,1.0000,1.0000,True,1.0500,0.00
dist25000_sigma0.2,1.0000,0.9980,0.9900,0.9980,False,1.0480,0.63
dist25000_sigma0.25,0.9940,0.3820,0.2920,0.2300,True,0.4140,13.07
dist25000_sigma0.3,0.6420,0.0040,0.0020,0.0060,False,0.3020,15.78
dist25000_sigma0.35,0.0860,0.0000,0.0000,0.0000,True,0.8640,3.06
dist25000_sigma0.4,0.0040,0.0000,0.0000,0.0000,True,0.9460,1.03
dist25000_sigma0.45,0.0000,0.0000,0.0000,0.0000,True,0.9500,0.00
dist25000_sigma0.5,0.0000,0.0000,0.0000,0.0000,True,0.9500,0.00
dist50000_sigma0.1,1.0000,1.0000,1.0000,1.0000,True,1.0500,0.00
dist50000_sigma0.15,1.0000,1.0000,1.0000,1.0000,True,1.0500,0.00
dist50000_sigma0.2,1.0000,1.0000,0.9900,0.9920,False,1.0420,2.53
dist50000_sigma0.25,0.9980,0.1940,0.1820,0.1860,False,0.4620,40.60
dist50000_sigma0.3,0.7040,0.0000,0.0000,0.0000,True,0.3540,18.88
dist50000_sigma0.35,0.0620,0.0000,0.0000,0.0000,True,0.8880,2.51
dist50000_sigma0.4,0.0020,0.0000,0.0000,0.0000,True,0.9480,0.63
dist50000_sigma0.45,0.0000,0.0000,0.0000,0.0000,True,0.9500,0.00
dist50000_sigma0.5,0.0000,0.0000,0.0000,0.0000,True,0.9500,0.00
